time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
2181,6.1,70938624,554856448,30777344,174759936
2191,5.9,69095424,554856448,28823552,174759936
2201,6.1,70610944,554856448,30384128,174759936
2211,6.3,74399744,554856448,34181120,174759936
2221,6.0,70733824,554856448,30429184,174759936
2231,6.2,71147520,554856448,30957568,174759936
2241,6.0,72376320,554856448,32047104,174759936
2251,6.2,74702848,554856448,34439168,174759936
2261,6.3,69095424,554856448,28823552,174759936
2272,6.2,69189632,554856448,28975104,174759936
2282,6.2,72073216,554856448,31809536,174759936
2292,6.2,70168576,554856448,29868032,174759936
2302,6.2,72253440,554856448,31887360,174759936
2312,6.5,68513792,554856448,28225536,174759936
2322,6.2,67579904,554856448,27299840,174759936
2332,6.4,68554752,554856448,28307456,174759936
2342,6.2,66187264,554856448,25915392,174759936
2352,6.4,67616768,554856448,27230208,174759936
2362,5.2,70660096,554856448,30318592,174759936
2372,5.0,68231168,554856448,27774976,174759936
2382,4.9,69931008,554856448,29519872,174759936
2392,5.1,67977216,554856448,27488256,174759936
2402,4.8,72679424,554856448,32026624,174759936
2412,5.0,68530176,554856448,27967488,174759936
2422,5.0,70926336,554856448,30248960,174759936
2432,5.1,74158080,554856448,33501184,174759936
2442,4.9,71798784,554856448,31105024,174759936
2452,5.1,68911104,554856448,28176384,174759936
2462,5.0,73134080,554856448,32374784,174759936
2472,5.0,71245824,554856448,30560256,174759936
2482,5.1,73396224,554856448,32677888,174759936
2492,5.2,73609216,554856448,32972800,174759936
2502,5.1,73441280,554856448,32804864,174759936
2512,5.1,75014144,554856448,34304000,174759936
2522,4.9,78524416,555905024,37625856,175808512
2532,5.0,75522048,555905024,34529280,175808512
2542,4.8,72933376,555905024,31813632,175808512
2552,5.2,78254080,555905024,37236736,175808512
2562,5.1,78921728,555905024,37826560,175808512
2572,5.2,75030528,555905024,34074624,175808512
2582,4.8,74801152,555905024,33763328,175808512
2592,5.1,75608064,555905024,34336768,175808512
2602,5.0,78422016,555905024,37203968,175808512
2612,5.2,77508608,555905024,36306944,175808512
2622,5.1,76214272,555905024,35106816,175808512
2632,5.3,79454208,555905024,38318080,175808512
2642,5.0,81162240,555905024,40001536,175808512
2652,5.2,79462400,555905024,38334464,175808512
2662,5.3,79343616,555905024,38072320,175808512
2672,5.1,76931072,555905024,35651584,175808512
2682,5.3,75968512,555905024,34787328,175808512
2692,5.1,74153984,555905024,32862208,175808512
2702,5.2,77271040,555905024,36106240,175808512
2712,5.3,75231232,555905024,34091008,175808512
2722,5.1,74915840,555905024,33742848,175808512
2732,5.4,75341824,555905024,34058240,175808512
