Time, W_CPU, W_MEM, D_CPU, D_MEM
247,35.4,3962859520.0,0.6,69513216.0
248,28.0,3963162624.0,0.5,69513216.0
249,34.2,3964080128.0,0.5,53903360.0
250,41.7,3976613888.0,0.3,53903360.0
251,27.0,3976912896.0,0.5,53903360.0
252,35.8,3977240576.0,0.3,53903360.0
253,29.3,3977543680.0,0.5,53903360.0
254,29.4,3977912320.0,0.5,53903360.0
255,35.4,3986219008.0,0.3,53903360.0
256,29.1,3988094976.0,0.4,53903360.0
257,33.1,3993620480.0,0.3,69492736.0
258,34.3,3993939968.0,0.4,53903360.0
259,33.6,3995144192.0,0.5,53903360.0
260,34.6,3995504640.0,0.4,53903360.0
261,28.1,3995856896.0,0.4,53903360.0
262,28.2,3996196864.0,0.4,53903360.0
263,34.5,3996631040.0,0.5,53903360.0
264,29.5,3996987392.0,0.3,53903360.0
265,29.5,3998810112.0,0.5,53903360.0
266,32.9,3999195136.0,0.3,53903360.0
267,35.0,3999182848.0,0.4,53903360.0
268,41.3,3998441472.0,0.5,53903360.0
269,27.5,3999789056.0,0.3,53903360.0
270,33.8,4014415872.0,0.5,68337664.0
271,28.8,4012769280.0,0.3,53903360.0
272,28.0,4013633536.0,0.4,53903360.0
273,35.0,4017713152.0,0.4,53903360.0
274,30.8,4029702144.0,0.5,53907456.0
275,26.2,4030152704.0,0.4,53907456.0
276,47.4,4007022592.0,0.3,67502080.0
277,28.4,4007301120.0,0.4,69689344.0
278,28.0,4007612416.0,0.6,69472256.0
279,35.5,4013506560.0,0.3,69484544.0
280,27.2,4013809664.0,0.6,53907456.0
281,34.6,4014080000.0,0.3,53907456.0
282,29.4,4016234496.0,0.5,53907456.0
283,28.0,4028493824.0,0.4,66379776.0
284,40.1,4019494912.0,0.3,69697536.0
285,27.7,4019568640.0,0.4,53907456.0
286,33.2,4019613696.0,0.5,53907456.0
287,36.3,4019662848.0,0.4,53907456.0
288,28.3,4019683328.0,0.4,53907456.0
289,26.2,4019707904.0,0.3,53907456.0
290,35.9,4019757056.0,0.4,53907456.0
291,30.0,4035387392.0,0.4,53907456.0
292,27.5,4053327872.0,0.3,53907456.0
293,34.2,4053372928.0,0.4,53907456.0
294,33.3,4053454848.0,0.5,53907456.0
295,34.3,4053471232.0,0.5,53907456.0
296,34.5,4053557248.0,0.4,53907456.0
297,29.1,4052557824.0,0.3,53907456.0
298,34.0,4050518016.0,0.5,53907456.0
299,18.8,4052328448.0,0.3,53907456.0
