Wed Feb 28 11:13:29 2018    ../cProfile_results/001001010101011111/cProfile.log

         333297241 function calls (322573531 primitive calls) in 945.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   840506    1.252    0.000   27.845    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:463(__get__)
  1136820    1.225    0.000    2.129    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:331(quote_name_unless_alias)
  2405917    1.212    0.000    1.212    0.000 {method 'group' of 'SRE_Match' objects}
   974444    1.179    0.000    1.179    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/tree.py:21(__init__)
586954/9327    1.176    0.000    4.521    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py:145(deepcopy)
   170578    1.165    0.000    2.471    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_lookups.py:23(get_normalized_value)
   589601    1.148    0.000    1.148    0.000 {method 'match' of 'SRE_Pattern' objects}
   367672    1.140    0.000    3.561    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:625(get_joining_columns)
   514520    1.126    0.000    1.323    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/text.py:395(unescape_string_literal)
    36889    1.104    0.000   72.670    0.002 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/loaders/base.py:17(get_template)
    20304    1.097    0.000    1.551    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:183(enter)
  2326045    1.089    0.000    1.089    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:64(_note)
69172/6925    1.073    0.000    2.777    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:1000(get_nodes_by_type)
   544965    1.065    0.000    3.509    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:661(get_path_info)
  5552291    1.047    0.000    1.047    0.000 {issubclass}
   833353    1.046    0.000    1.864    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:1458(_get_m2m_attr)
   368091    1.033    0.000    2.481    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/collections.py:597(update)
   362260    1.028    0.000    3.457    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:749(demote_joins)
    14794    1.027    0.000    1.317    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:445(get_supported_language_variant)
    30741    1.017    0.000  153.324    0.005 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:1557(prefetch_one_level)
   100567    1.017    0.000    1.073    0.000 {_io.open}
    57719    1.016    0.000    9.255    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:165(get_select)
   800028    1.001    0.000    8.196    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:600(get_foreign_related_value)
207806/206530    0.981    0.000   42.183    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:872(_resolve_lookup)
78753/4473    0.967    0.000  204.158    0.046 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:990(render)
   407393    0.956    0.000    1.057    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/exceptions.py:28(__init__)
   512336    0.949    0.000    2.923    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/expressions.py:657(as_sql)
    20304    0.946    0.000    1.994    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:196(leave)
   248611    0.940    0.000    9.374    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:1071(_clone)
   800028    0.929    0.000    0.929    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py:649(get_ancestor_link)
   103444    0.924    0.000    2.481    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/extras.py:673(parse)
57719/57437    0.917    0.000   22.480    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:358(as_sql)
  6527237    0.914    0.000    0.914    0.000 {ord}
580114/117739    0.891    0.000    2.564    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:970(get_nodes_by_type)
   552600    0.881    0.000    1.220    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/tree.py:83(add)
   281844    0.861    0.000   15.190    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py:423(get_provider)
   410997    0.855    0.000    1.598    0.000 {method 'sub' of 'SRE_Pattern' objects}
    34651    0.848    0.000   33.402    0.001 /home/seasun/jit_test/application/saleor/saleor/discount/models.py:303(get_product_discounts)
  5477450    0.847    0.000    0.847    0.000 {method 'update' of 'HASH' objects}
   367672    0.839    0.000    4.621    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/datastructures.py:45(__init__)
  1062504    0.825    0.000    0.825    0.000 {method 'encode' of 'unicode' objects}
161727/4031    0.824    0.000    4.316    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py:234(_deepcopy_tuple)
