Thu Feb 22 02:43:17 2018    ../cProfile_results/110101011000100111/cProfile.log

         563405820 function calls (546416936 primitive calls) in 5134.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
29904/24728 2190.847    0.073 2715.177    0.110 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
   467540    4.432    0.000   16.164    0.000 /home/seasun/jit_test/application/saleor/saleor/discount/models.py:290(<setcomp>)
  1181347    4.420    0.000    5.715    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py:2220(_is_unpacked_egg)
127169/7094    4.396    0.000 1164.343    0.164 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:990(render)
  1460518    4.388    0.000    4.390    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:627(<genexpr>)
351955/348009    4.385    0.000  196.432    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1232(_add_q)
   586588    4.384    0.000 1051.695    0.002 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:48(__iter__)
   115401    4.233    0.000    6.211    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene/types/objecttype.py:68(__init__)
2260545/2113607    4.230    0.000 1339.895    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:1085(_fetch_all)
   564755    4.229    0.000   29.414    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:346(pgettext)
   388590    4.217    0.000   45.635    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1374(setup_joins)
869825/867780    4.211    0.000  264.744    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:848(resolve)
