Fri Feb 23 13:42:46 2018    ../cProfile_results/110100011011101101/cProfile.log

         680865947 function calls (660538449 primitive calls) in 4916.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
37471/32958 1985.117    0.053 2401.978    0.073 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
992498/18115    4.698    0.000   18.580    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py:145(deepcopy)
 1440/180    4.523    0.003   28.499    0.158 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:33(visit)
    38880    4.519    0.000    9.164    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:183(enter)
   968177    4.340    0.000    5.694    0.000 {method 'sub' of 'SRE_Pattern' objects}
   512210    4.257    0.000   12.835    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:356(split_contents)
   410059    4.250    0.000   29.599    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py:98(format_html)
    39121    4.227    0.000  203.369    0.005 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/loaders/base.py:17(get_template)
1599987/1241673    4.226    0.000   36.501    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:348(compile)
772991/731153    4.184    0.000   13.092    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py:66(copy)
   570747    4.182    0.000   29.515    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:1071(_clone)
  2421522    4.120    0.000   36.911    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/typecasts.py:33(cast)
   778680    4.094    0.000    4.868    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:165(enter)
  2405027    4.087    0.000    5.776    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:331(quote_name_unless_alias)
