6,6,1,5,6,0,12327,1273,1256,1030,113,88,3760
3,6,1,5,7,3,9254,1365,1337,1047,117,110,3976
6,7,4,0,4,2,11581,1323,1308,1127,114,95,3967
4,3,4,0,4,2,6024,1444,1667,1391,120,122,4744
6,6,5,5,6,0,12426,1227,1351,984,107,95,3764
5,4,1,5,6,0,10705,1240,1283,1072,110,97,3802
3,7,5,0,7,3,9976,1333,1255,1135,114,105,3942
0,1,2,6,1,3,3302,3820,3620,3187,396,346,11369
3,3,5,2,4,3,5087,1735,1478,1445,146,140,4944
4,7,3,6,5,1,10874,1412,1403,1113,118,103,4149
1,5,0,3,5,1,6077,1618,1644,1260,170,134,4826
2,7,5,1,4,3,6834,1576,1499,1221,153,140,4589
4,7,3,5,4,0,10087,1695,1328,1191,123,118,4455
5,5,5,4,4,0,9944,1400,1219,1171,116,102,4008
4,7,5,2,6,1,10590,1214,1240,1017,100,105,3676
5,5,5,2,4,0,9317,1513,1489,1307,125,114,4548
4,5,6,7,6,6,3604,6557,6273,5311,661,604,19406
1,3,3,0,4,3,3436,2515,1846,1819,201,183,6564
3,7,6,0,7,3,9797,1250,1209,1072,108,102,3741
3,7,5,5,6,3,9660,1449,1349,1053,109,114,4074
6,1,6,0,6,0,8231,1321,1237,1073,117,103,3851
3,7,6,5,4,3,8620,1575,1458,1271,150,126,4580
4,1,4,0,4,2,5757,1629,1781,1434,152,122,5118
7,3,0,7,4,5,8840,2126,2013,1785,186,174,6284
4,3,3,0,4,0,6577,1545,1419,1158,138,119,4379
5,7,4,4,0,0,10084,2100,1615,1500,171,177,5563
6,6,5,2,4,0,10747,1241,1464,1227,109,115,4156
6,6,1,5,7,0,12944,1154,1399,1203,126,109,3991
7,3,5,2,5,2,10350,1461,1189,1155,103,98,4006
4,7,4,5,7,1,11639,1226,1160,1118,102,94,3700
3,7,6,0,2,3,7209,2376,2175,1756,189,187,6683
7,7,4,3,4,4,12009,1544,1824,1576,162,172,5278
4,7,7,1,1,1,8910,1764,1946,1588,185,178,5661
6,1,6,7,5,0,11303,1313,1378,998,112,101,3902
7,5,4,0,4,0,11115,1281,1096,1047,107,103,3634
4,4,2,0,3,5,3712,2164,2671,2200,233,240,7508
4,7,5,2,7,0,11143,1340,1211,1031,123,115,3820
4,5,0,3,5,0,8593,1387,1312,1171,122,97,4089
0,1,0,1,5,6,1056,4189,4087,3229,409,325,12239
4,5,6,7,2,6,2974,4839,4591,4062,501,434,14427
7,3,5,2,4,0,10039,1265,1298,1049,115,101,3828
7,7,4,4,1,1,12235,1557,1428,1237,136,125,4483
7,7,1,5,4,0,13074,1295,1340,1101,113,104,3953
5,5,1,2,7,0,11045,1276,1033,1025,101,89,3524
7,1,2,6,1,1,9533,1568,1569,1198,131,119,4585
4,2,7,5,0,0,6258,2202,2141,1858,221,206,6628
7,3,5,5,6,0,11974,1687,1145,1393,149,142,4516
0,1,4,7,2,1,5783,4089,3984,3067,504,478,12122
7,7,6,7,4,0,13423,1324,1321,1286,105,107,4143
6,7,5,4,0,6,3107,5920,5585,4705,597,511,17318
7,4,1,5,4,0,11330,1549,1191,1276,137,92,4245
4,6,1,1,7,1,10350,1230,1108,1012,105,98,3553
4,7,5,1,7,0,11289,1230,1134,1037,97,96,3594
7,1,5,4,4,0,10181,1343,1135,1107,121,118,3824
4,7,3,1,1,1,8936,2065,2213,1387,191,197,6053
7,3,0,1,4,2,9701,1426,1229,1178,112,101,4046
2,7,5,4,6,3,8043,1520,1206,1277,118,126,4247
7,3,0,4,4,2,10534,1450,1241,1109,116,95,4011
