time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
2161,26.3,413208576,658837504,28209152,518656000
2171,38.4,413208576,658837504,28209152,518656000
2181,29.1,413208576,658837504,28209152,518656000
2191,28.8,413208576,658837504,28209152,518656000
2201,29.9,413208576,658837504,28209152,518656000
2211,28.3,413208576,658837504,28209152,518656000
2221,24.3,413208576,658837504,28209152,518656000
2231,27.0,413208576,658837504,28209152,518656000
2241,30.9,412770304,658837504,28209152,518656000
2252,33.6,412770304,658837504,28209152,518656000
2262,27.2,412770304,658837504,28209152,518656000
2272,23.8,412770304,658837504,28209152,518656000
2282,23.3,412770304,658837504,28209152,518656000
2292,27.3,412770304,658837504,28209152,518656000
2302,23.0,412770304,658837504,28209152,518656000
2312,24.4,412770304,658837504,28209152,518656000
2322,23.3,412770304,658837504,28209152,518656000
2332,25.6,412770304,658837504,28209152,518656000
2342,28.4,412770304,658837504,28209152,518656000
2352,24.5,412770304,658837504,28209152,518656000
2362,22.9,412770304,658837504,28209152,518656000
2372,16.5,412770304,658837504,28209152,518656000
2382,21.9,412770304,658837504,28209152,518656000
2392,24.4,412770304,658837504,28209152,518656000
2402,27.1,412770304,658837504,28209152,518656000
2412,27.3,412770304,658837504,28209152,518656000
2422,25.6,413011968,658837504,28209152,518656000
2432,30.4,413011968,658837504,28209152,518656000
2442,24.9,413011968,658837504,28209152,518656000
2452,22.7,413011968,658837504,28209152,518656000
2462,21.6,413011968,658837504,28209152,518656000
2472,29.4,413011968,658837504,28209152,518656000
2482,24.6,413011968,658837504,28209152,518656000
2492,28.3,413011968,658837504,28209152,518656000
2502,28.1,413011968,658837504,28209152,518656000
2512,22.8,413159424,658837504,28209152,518656000
2522,27.7,415199232,661983232,28209152,521801728
2532,26.7,415330304,661983232,28209152,521801728
2542,22.4,415330304,661983232,28209152,521801728
2552,19.7,415330304,661983232,28209152,521801728
2562,20.4,415330304,661983232,28209152,521801728
2572,26.5,415330304,661983232,28209152,521801728
2582,29.2,415330304,661983232,28209152,521801728
2592,27.9,415330304,661983232,28209152,521801728
2602,27.5,415330304,661983232,28209152,521801728
2612,28.3,414810112,661983232,28209152,521801728
2622,24.3,414810112,661983232,28209152,521801728
2632,25.0,414810112,661983232,28209152,521801728
2642,25.8,415076352,661983232,28209152,521801728
2652,25.0,415076352,661983232,28209152,521801728
2662,31.5,415076352,661983232,28209152,521801728
2672,27.3,415076352,661983232,28209152,521801728
2682,25.6,415346688,661983232,28209152,521801728
