Time, W_CPU, W_MEM, D_CPU, D_MEM
263,14.3,2659110912.0,0.1,63295488.0
264,17.7,2659373056.0,0.3,50511872.0
265,20.2,2647343104.0,0.2,50511872.0
266,14.2,2647736320.0,0.1,50511872.0
267,15.0,2647994368.0,0.2,50511872.0
268,22.7,2648297472.0,0.2,50511872.0
269,17.9,2650681344.0,0.2,64843776.0
270,12.9,2651234304.0,0.3,50511872.0
271,22.9,2651594752.0,0.3,50511872.0
272,14.8,2651848704.0,0.2,50511872.0
273,15.4,2652135424.0,0.3,50511872.0
274,18.1,2652381184.0,0.2,50511872.0
275,16.9,2653458432.0,0.2,50511872.0
276,15.7,2653704192.0,0.3,50511872.0
277,17.3,2653974528.0,0.2,50511872.0
278,19.1,2654236672.0,0.1,50511872.0
279,14.2,2654474240.0,0.2,50511872.0
280,17.0,2656071680.0,0.3,50511872.0
281,18.1,2665009152.0,0.2,50511872.0
282,13.9,2665553920.0,0.2,50511872.0
283,19.7,2665844736.0,0.2,50511872.0
284,13.5,2666704896.0,0.1,50511872.0
285,24.6,2675888128.0,0.2,50511872.0
286,15.3,2676678656.0,0.2,50511872.0
287,16.7,2677706752.0,0.3,50511872.0
288,18.2,2676404224.0,0.2,50511872.0
289,17.1,2677202944.0,0.2,50511872.0
290,12.8,2681069568.0,0.2,50511872.0
291,18.8,2681737216.0,0.3,50511872.0
292,20.8,2712035328.0,0.3,50511872.0
293,19.2,2722369536.0,0.2,50511872.0
294,14.1,2722643968.0,0.1,50511872.0
295,23.4,2723106816.0,0.3,50511872.0
296,18.4,2723373056.0,0.1,50511872.0
297,14.8,2723663872.0,0.2,50511872.0
298,15.7,2723995648.0,0.2,50511872.0
299,16.0,2724143104.0,0.2,50511872.0
